"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (UTC)","Year","Month","Day","Time (UTC)","Flag","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 00:00","2024","06","01","00:00","","20.0","","5.5","","38","","0.0","","23","","5","","16.1","","100.47","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 01:00","2024","06","01","01:00","","17.7","","6.7","","48","","0.0","","","M","4","","16.1","","100.45","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 02:00","2024","06","01","02:00","","13.8","","8.1","","68","","0.0","","","","0","","16.1","","100.49","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 03:00","2024","06","01","03:00","","12.0","","8.1","","77","","0.0","","","M","4","","16.1","","100.51","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 04:00","2024","06","01","04:00","","10.5","","7.7","","83","","0.0","","33","","4","","16.1","","100.55","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 05:00","2024","06","01","05:00","","10.1","","6.3","","77","","0.0","","","M","4","","16.1","","100.58","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 06:00","2024","06","01","06:00","","9.9","","6.1","","77","","0.0","","33","","4","","16.1","","100.60","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 07:00","2024","06","01","07:00","","8.0","","5.5","","84","","0.0","","36","","4","","16.1","","100.60","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 08:00","2024","06","01","08:00","","7.0","","5.2","","88","","0.0","","2","","5","","16.1","","100.60","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 09:00","2024","06","01","09:00","","6.9","","4.7","","86","","0.0","","36","","5","","16.1","","100.60","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 10:00","2024","06","01","10:00","","7.2","","4.7","","84","","0.0","","33","","5","","16.1","","100.62","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 11:00","2024","06","01","11:00","","10.7","","6.7","","76","","0.0","","","","0","","16.1","","100.64","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 12:00","2024","06","01","12:00","","14.3","","7.8","","65","","0.0","","","M","4","","16.1","","100.62","","","","","","NA"
"-78.88","43.92","OSHAWA","6155875","2024-06-01 13:00","2024","06","01","13:00","","17.4","","7.9","","53","","0.0","","18","","5","","16.1","","100.62","","","","","","NA"
