"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.88","43.92","OSHAWA","6155875","2023-01-01","2023","01","01","","4.4","","1.6","","3.0","","15.0","","0.0","","","","","","","M","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-01-02","2023","01","02","","4.6","","-3.2","","0.7","","17.3","","0.0","","","","","","","M","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-01-03","2023","01","03","","4.0","","-1.5","","1.3","","16.7","","0.0","","","","","","","M","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-01-04","2023","01","04","","3.1","","1.6","","2.4","","15.6","","0.0","","","","","","","M","","","6","","52",""
"-78.88","43.92","OSHAWA","6155875","2023-01-05","2023","01","05","","3.6","","1.7","","2.7","","15.3","","0.0","","","","","","","M","","","23","","39",""
"-78.88","43.92","OSHAWA","6155875","2023-01-06","2023","01","06","","4.5","","1.5","","3.0","","15.0","","0.0","","","","","","","M","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-01-07","2023","01","07","","2.2","","-7.6","","-2.7","","20.7","","0.0","","","","","","","M","","","35","","37",""
"-78.88","43.92","OSHAWA","6155875","2023-01-08","2023","01","08","","-2.3","","-8.6","","-5.5","","23.5","","0.0","","","","","","","M","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-01-09","2023","01","09","","1.3","","-2.4","","-0.6","","18.6","","0.0","","","","","","","M","","","27","","42",""
"-78.88","43.92","OSHAWA","6155875","2023-01-10","2023","01","10","","0.2","","-7.3","","-3.6","","21.6","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-01-11","2023","01","11","","-0.2","","-9.1","","-4.7","","22.7","","0.0","","","","","","0.0","","","","9","","39",""
"-78.88","43.92","OSHAWA","6155875","2023-01-12","2023","01","12","","3.1","","-0.7","","1.2","","16.8","","0.0","","","","","","0.0","","","","36","","41",""
"-78.88","43.92","OSHAWA","6155875","2023-01-13","2023","01","13","","-0.8","","-9.2","","-5.0","","23.0","","0.0","","","","","","0.0","","","","34","","54",""
"-78.88","43.92","OSHAWA","6155875","2023-01-14","2023","01","14","","-5.6","","-9.9","","-7.8","","25.8","","0.0","","","","","","0.0","","","","35","","32",""
"-78.88","43.92","OSHAWA","6155875","2023-01-15","2023","01","15","","-1.5","","-13.3","","-7.4","","25.4","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-01-16","2023","01","16","","0.4","","-10.4","","-5.0","","23.0","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-01-17","2023","01","17","","2.1","","-1.4","","0.4","","17.6","","0.0","","","","","","0.0","","","","8","","37",""
"-78.88","43.92","OSHAWA","6155875","2023-01-18","2023","01","18","","3.8","","-2.1","","0.9","","17.1","","0.0","","","","","","0.0","","","","29","","37",""
"-78.88","43.92","OSHAWA","6155875","2023-01-19","2023","01","19","","1.0","","-0.9","","0.1","","17.9","","0.0","","","","","","0.0","","","","9","","67",""
"-78.88","43.92","OSHAWA","6155875","2023-01-20","2023","01","20","","0.7","","-2.1","","-0.7","","18.7","","0.0","","","","","","0.0","","","","29","","37",""
"-78.88","43.92","OSHAWA","6155875","2023-01-21","2023","01","21","","0.0","","-2.3","","-1.2","","19.2","","0.0","","","","","","","M","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-01-22","2023","01","22","","1.7","","-3.8","","-1.1","","19.1","","0.0","","","","","","","M","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-01-23","2023","01","23","","1.2","","-3.7","","-1.3","","19.3","","0.0","","","","","","","M","","","25","","37",""
"-78.88","43.92","OSHAWA","6155875","2023-01-24","2023","01","24","","2.2","","-5.2","","-1.5","","19.5","","0.0","","","","","","","M","","","25","","46",""
"-78.88","43.92","OSHAWA","6155875","2023-01-25","2023","01","25","","1.4","","-5.0","","-1.8","","19.8","","0.0","","","","","","","M","","","10","","65",""
"-78.88","43.92","OSHAWA","6155875","2023-01-26","2023","01","26","","-1.7","","-7.6","","-4.7","","22.7","","0.0","","","","","","","M","","","33","","42",""
"-78.88","43.92","OSHAWA","6155875","2023-01-27","2023","01","27","","1.2","","-9.6","","-4.2","","22.2","","0.0","","","","","","","M","","","18","","50",""
"-78.88","43.92","OSHAWA","6155875","2023-01-28","2023","01","28","","2.1","","-3.6","","-0.8","","18.8","","0.0","","","","","","","M","","","28","","48",""
"-78.88","43.92","OSHAWA","6155875","2023-01-29","2023","01","29","","0.8","","-8.8","","-4.0","","22.0","","0.0","","","","","","","M","","","33","","37",""
"-78.88","43.92","OSHAWA","6155875","2023-01-30","2023","01","30","","-2.5","","-14.1","","-8.3","","26.3","","0.0","","","","","","","M","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-01-31","2023","01","31","","-5.3","","-15.6","","-10.5","","28.5","","0.0","","","","","","","M","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-02-01","2023","02","01","","-4.7","","-20.6","","-12.7","","30.7","","0.0","","","","","","","M","","","26","","39",""
"-78.88","43.92","OSHAWA","6155875","2023-02-02","2023","02","02","","1.6","","-13.0","","-5.7","","23.7","","0.0","","","","","","","M","","","31","","63",""
"-78.88","43.92","OSHAWA","6155875","2023-02-03","2023","02","03","","-13.0","","-26.0","","-19.5","","37.5","","0.0","","","","","","","M","","","33","","48",""
"-78.88","43.92","OSHAWA","6155875","2023-02-04","2023","02","04","","0.0","","-27.8","","-13.9","","31.9","","0.0","","","","","","","M","","","20","","42",""
"-78.88","43.92","OSHAWA","6155875","2023-02-05","2023","02","05","","4.4","","-4.7","","-0.2","","18.2","","0.0","","","","","","","M","","","25","","39",""
"-78.88","43.92","OSHAWA","6155875","2023-02-06","2023","02","06","","2.0","","-2.6","","-0.3","","18.3","","0.0","","","","","","","M","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-02-07","2023","02","07","","6.8","","-1.3","","2.8","","15.2","","0.0","","","","","","","M","","","26","","33",""
"-78.88","43.92","OSHAWA","6155875","2023-02-08","2023","02","08","","5.8","","-3.4","","1.2","","16.8","","0.0","","","","","","","M","","","25","","33",""
"-78.88","43.92","OSHAWA","6155875","2023-02-09","2023","02","09","","5.6","","-4.2","","0.7","","17.3","","0.0","","","","","","","M","","","8","","39",""
"-78.88","43.92","OSHAWA","6155875","2023-02-10","2023","02","10","","5.0","","-3.1","","1.0","","17.0","","0.0","","","","","","","M","","","26","","52",""
"-78.88","43.92","OSHAWA","6155875","2023-02-11","2023","02","11","","1.0","","-3.8","","-1.4","","19.4","","0.0","","","","","","","M","","","20","","42",""
"-78.88","43.92","OSHAWA","6155875","2023-02-12","2023","02","12","","5.5","","-6.6","","-0.6","","18.6","","0.0","","","","","","","M","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-02-13","2023","02","13","","7.9","","-1.7","","3.1","","14.9","","0.0","","","","","","","M","","","30","","45",""
"-78.88","43.92","OSHAWA","6155875","2023-02-14","2023","02","14","","7.1","","-5.2","","1.0","","17.0","","0.0","","","","","","","M","","","20","","32",""
"-78.88","43.92","OSHAWA","6155875","2023-02-15","2023","02","15","","13.6","","3.8","","8.7","","9.3","","0.0","","","","","","","M","","","28","","58",""
"-78.88","43.92","OSHAWA","6155875","2023-02-16","2023","02","16","","6.0","","-0.5","","2.8","","15.2","","0.0","","","","","","8.7","","","","4","","32",""
"-78.88","43.92","OSHAWA","6155875","2023-02-17","2023","02","17","","0.0","","-9.5","","-4.8","","22.8","","0.0","","","","","","3.5","","","","34","","52",""
"-78.88","43.92","OSHAWA","6155875","2023-02-18","2023","02","18","","0.8","","-9.8","","-4.5","","22.5","","0.0","","","","","","0.0","","","","24","","45",""
"-78.88","43.92","OSHAWA","6155875","2023-02-19","2023","02","19","","7.2","","-2.9","","2.2","","15.8","","0.0","","","","","","0.0","","","","23","","42",""
"-78.88","43.92","OSHAWA","6155875","2023-02-20","2023","02","20","","4.9","","-4.3","","0.3","","17.7","","0.0","","","","","","0.0","","","","33","","42",""
"-78.88","43.92","OSHAWA","6155875","2023-02-21","2023","02","21","","5.4","","-4.5","","0.5","","17.5","","0.0","","","","","","1.2","","","","30","","65",""
"-78.88","43.92","OSHAWA","6155875","2023-02-22","2023","02","22","","-2.7","","-8.4","","-5.6","","23.6","","0.0","","","","","","5.6","","","","4","","46",""
"-78.88","43.92","OSHAWA","6155875","2023-02-23","2023","02","23","","-6.4","","-8.2","","-7.3","","25.3","","0.0","","","","","","0.2","","","","2","","42",""
"-78.88","43.92","OSHAWA","6155875","2023-02-24","2023","02","24","","-5.9","","-16.8","","-11.4","","29.4","","0.0","","","","","","0.0","","","","31","","54",""
"-78.88","43.92","OSHAWA","6155875","2023-02-25","2023","02","25","","-4.8","","-17.5","","-11.2","","29.2","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-02-26","2023","02","26","","2.2","","-5.8","","-1.8","","19.8","","0.0","","","","","","0.0","","","","26","","50",""
"-78.88","43.92","OSHAWA","6155875","2023-02-27","2023","02","27","","-1.7","","-12.7","","-7.2","","25.2","","0.0","","","","","","1.5","","","","8","","59",""
"-78.88","43.92","OSHAWA","6155875","2023-02-28","2023","02","28","","2.0","","-7.1","","-2.6","","20.6","","0.0","","","","","","0.9","","","","8","","54",""
"-78.88","43.92","OSHAWA","6155875","2023-03-01","2023","03","01","","1.5","","-6.7","","-2.6","","20.6","","0.0","","","","","","0.0","","","","11","","50",""
"-78.88","43.92","OSHAWA","6155875","2023-03-02","2023","03","02","","3.0","","-2.5","","0.3","","17.7","","0.0","","","","","","0.0","","","","34","","35",""
"-78.88","43.92","OSHAWA","6155875","2023-03-03","2023","03","03","","1.1","","-7.2","","-3.1","","21.1","","0.0","","","","","","13.3","","","","9","","63",""
"-78.88","43.92","OSHAWA","6155875","2023-03-04","2023","03","04","","3.8","","-2.7","","0.6","","17.4","","0.0","","","","","","3.2","","","","8","","52",""
"-78.88","43.92","OSHAWA","6155875","2023-03-05","2023","03","05","","5.4","","-4.4","","0.5","","17.5","","0.0","","","","","","0.2","","","","30","","39",""
"-78.88","43.92","OSHAWA","6155875","2023-03-06","2023","03","06","","4.0","","-3.8","","0.1","","17.9","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2023-03-07","2023","03","07","","2.1","","-3.8","","-0.9","","18.9","","0.0","","","","","","0.0","","","","34","","67",""
"-78.88","43.92","OSHAWA","6155875","2023-03-08","2023","03","08","","2.5","","-4.4","","-1.0","","19.0","","0.0","","","","","","0.0","","","","1","","52",""
"-78.88","43.92","OSHAWA","6155875","2023-03-09","2023","03","09","","3.3","","-5.0","","-0.9","","18.9","","0.0","","","","","","0.0","","","","35","","32",""
