"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.88","43.92","OSHAWA","6155875","2022-01-01","2022","01","01","","4.3","","-3.1","","0.6","","17.4","","0.0","","","","","","0.0","","","","34","","41",""
"-78.88","43.92","OSHAWA","6155875","2022-01-02","2022","01","02","","-3.1","","-13.8","","-8.5","","26.5","","0.0","","","","","","0.0","","","","34","","54",""
"-78.88","43.92","OSHAWA","6155875","2022-01-03","2022","01","03","","-7.8","","-17.0","","-12.4","","30.4","","0.0","","","","","","0.0","","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2022-01-04","2022","01","04","","1.9","","-14.2","","-6.2","","24.2","","0.0","","","","","","0.6","","","","21","","37",""
"-78.88","43.92","OSHAWA","6155875","2022-01-05","2022","01","05","","4.6","","-4.7","","-0.1","","18.1","","0.0","","","","","","0.4","","","","21","","58",""
"-78.88","43.92","OSHAWA","6155875","2022-01-06","2022","01","06","","-2.1","","-6.1","","-4.1","","22.1","","0.0","","","","","","0.0","","","","25","","42",""
"-78.88","43.92","OSHAWA","6155875","2022-01-07","2022","01","07","","-5.5","","-15.6","","-10.6","","28.6","","0.0","","","","","","0.0","","","","32","","52",""
"-78.88","43.92","OSHAWA","6155875","2022-01-08","2022","01","08","","1.4","","-17.0","","-7.8","","25.8","","0.0","","","","","","0.0","","","","13","","33",""
"-78.88","43.92","OSHAWA","6155875","2022-01-09","2022","01","09","","3.8","","-7.2","","-1.7","","19.7","","0.0","","","","","","0.2","","","","28","","63",""
"-78.88","43.92","OSHAWA","6155875","2022-01-10","2022","01","10","","-6.2","","-20.3","","-13.3","","31.3","","0.0","","","","","","0.0","","","","25","","55",""
