"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.88","43.92","OSHAWA","6155875","2011-01-01","2011","01","01","","9.8","","1.5","","5.7","","12.3","","0.0","","","M","","M","9.0","","","","28","","32",""
"-78.88","43.92","OSHAWA","6155875","2011-01-02","2011","01","02","","1.3","","-5.4","","-2.1","","20.1","","0.0","","","M","","M","0.0","","","","25","","44",""
"-78.88","43.92","OSHAWA","6155875","2011-01-03","2011","01","03","","-0.4","","-5.7","","-3.1","","21.1","","0.0","","","M","","M","0.0","","","","23","","32",""
"-78.88","43.92","OSHAWA","6155875","2011-01-04","2011","01","04","","0.4","","-4.0","","-1.8","","19.8","","0.0","","","M","","M","1.3","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2011-01-05","2011","01","05","","-1.0","","-10.7","","-5.9","","23.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2011-01-06","2011","01","06","","-2.2","","-11.7","","-7.0","","25.0","","0.0","","","M","","M","1.3","","","","14","","32",""
"-78.88","43.92","OSHAWA","6155875","2011-01-07","2011","01","07","","-3.5","","-9.8","","-6.7","","24.7","","0.0","","","M","","M","0.0","","","","27","","32",""
"-78.88","43.92","OSHAWA","6155875","2011-01-08","2011","01","08","","-4.2","","-9.5","","-6.9","","24.9","","0.0","","","M","","M","0.3","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2011-01-09","2011","01","09","","-5.1","","-11.6","","-8.4","","26.4","","0.0","","","M","","M","0.0","","","","32","","43",""
"-78.88","43.92","OSHAWA","6155875","2011-01-10","2011","01","10","","-5.0","","-14.4","","-9.7","","27.7","","0.0","","","M","","M","0.0","","","","36","","46",""
"-78.88","43.92","OSHAWA","6155875","2011-01-11","2011","01","11","","-4.3","","-14.3","","-9.3","","27.3","","0.0","","","M","","M","0.0","","","","3","","44",""
"-78.88","43.92","OSHAWA","6155875","2011-01-12","2011","01","12","","-7.1","","-12.8","","-10.0","","28.0","","0.0","","","M","","M","0.8","","","","35","","56",""
