"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time","Year","Month","Day","Data Quality","Max Temp (°C)","Max Temp Flag","Min Temp (°C)","Min Temp Flag","Mean Temp (°C)","Mean Temp Flag","Heat Deg Days (°C)","Heat Deg Days Flag","Cool Deg Days (°C)","Cool Deg Days Flag","Total Rain (mm)","Total Rain Flag","Total Snow (cm)","Total Snow Flag","Total Precip (mm)","Total Precip Flag","Snow on Grnd (cm)","Snow on Grnd Flag","Dir of Max Gust (10s deg)","Dir of Max Gust Flag","Spd of Max Gust (km/h)","Spd of Max Gust Flag"
"-78.88","43.92","OSHAWA","6155875","2012-01-01","2012","01","01","","7.0","","0.7","","3.9","","14.1","","0.0","","","M","","M","4.8","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-02","2012","01","02","","1.5","","-12.3","","-5.4","","23.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-03","2012","01","03","","-12.3","","-16.7","","-14.5","","32.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-04","2012","01","04","","-0.6","","-13.9","","-7.3","","25.3","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-05","2012","01","05","","1.1","","-2.7","","-0.8","","18.8","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-06","2012","01","06","","6.1","","-0.9","","2.6","","15.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-07","2012","01","07","","8.6","","-0.7","","4.0","","14.0","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-08","2012","01","08","","0.1","","-7.1","","-3.5","","21.5","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-09","2012","01","09","","3.6","","-3.4","","0.1","","17.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-10","2012","01","10","","5.1","","-0.4","","2.4","","15.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-11","2012","01","11","","4.5","","-1.3","","1.6","","16.4","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-12","2012","01","12","","4.9","","0.2","","2.6","","15.4","","0.0","","","M","","M","16.6","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-13","2012","01","13","","4.3","","-10.1","","-2.9","","20.9","","0.0","","","M","","M","4.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-14","2012","01","14","","-10.1","","-17.3","","-13.7","","31.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-15","2012","01","15","","-8.3","","-19.1","","-13.7","","31.7","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-16","2012","01","16","","3.8","","-12.0","","-4.1","","22.1","","0.0","","","M","","M","3.8","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-17","2012","01","17","","7.7","","-4.5","","1.6","","16.4","","0.0","","","M","","M","7.1","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-18","2012","01","18","","-4.6","","-11.2","","-7.9","","25.9","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-19","2012","01","19","","-1.6","","-10.2","","-5.9","","23.9","","0.0","","","M","","M","2.3","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-20","2012","01","20","","-7.8","E","-15.6","E","-11.7","E","29.7","E","0.0","E","","M","","M","0.0","E","","","","M","","M"
"-78.88","43.92","OSHAWA","6155875","2012-01-21","2012","01","21","","","","","","","","","","","","","","","","","","","","","","",""
"-78.88","43.92","OSHAWA","6155875","2012-01-22","2012","01","22","","1.5","","-12.6","","-5.6","","23.6","","0.0","","","M","","M","0.0","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-23","2012","01","23","","6.8","","1.2","","4.0","","14.0","","0.0","","","M","","M","12.6","","","","","","<31",""
"-78.88","43.92","OSHAWA","6155875","2012-01-24","2012","01","24","","2.7","","-1.5","","0.6","","17.4","","0.0","","","M","","M","0.0","","","","","","<31",""
